Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-26,0
Festes i tradicions,Mixta,Festes,,,Diferents espais de la ciutat,Diverses entitats,La Festa Catalana,2017-05-27,0
Festes i tradicions,Mixta,Festes,,,"Barri de Gràica, Sant Gervasi i la Bordeta",Diverses entitats,La Festa Catalana,2017-05-28,0
Festes i tradicions,Mixta,Festes,,,Diferents espais de la ciutat,Diverses entitats,La Festa Catalana,2017-05-29,0
Festes i tradicions,Ajuntament de Barcelona,Festes,12.0,151797.0,Diferents espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-05-30,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,Diverses entitats,La Festa Catalana,2017-05-31,0
Festes i tradicions,Mixta,Festes,,,Diferents espais de la ciutat,Diverses entitats,La Festa Catalana,2017-06-01,0
Festes i tradicions,Mixta,Festes,,,Districte de Gràcia,Diverses entitats,La Festa Catalana,2017-06-02,0
Festes i tradicions,Mixta,Festes,,,Districte de Sants,Diverses entitats,La Festa Catalana,2017-06-03,0
Festes i tradicions,Mixta,Festes,,,,Diverses entitats,La Festa Catalana,2017-06-04,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,1371757.0,Diferents espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-05,0
Ciència,Ajuntament de Barcelona,Festes,13.0,15000.0,,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-06,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,94000.0,,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-07,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,950000.0,Diferents espais,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-08,0
Festes i tradicions,Mixta,Festes,195.0,,,Ajuntament de Barcelona.,La Festa Catalana,2017-06-09,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,2941.0,Diferents museus,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-10,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Ciutat Vella,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-11,0
Festes i tradicions,Mixta,Festes,,,Ciutat i districtes,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-12,0
Festes i tradicions,Mixta,Festes,,,Gràcia,-1,La Festa Catalana,2017-06-13,0
Festes i tradicions,Mixta,Festes,,,Online,-1,La Festa Catalana,2017-06-14,0
Festes i tradicions,Mixta,Festes,,,Online,Fundació Festa Major de Gràcia,La Festa Catalana,2017-06-15,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,59000.0,Ciutat i districtes,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-16,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Ciutat i districtes,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-17,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,40000.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-18,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-19,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-20,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-21,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-22,0
