Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
Festes i tradicions,Ajuntament de Barcelona,Festes,13.0,30230.0,Diversos museus de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-23,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-24,1
Ciència,Ajuntament de Barcelona,Festes,14.0,2271.0,Diversos espais de la ciutat,Programa Barcelona Ciència. Ajuntament de Barcelona,La Festa Catalana,2017-06-25,0
Festes i tradicions,Ajuntament de Barcelona,Festes,5.0,862.0,Diversos museus de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-06-26,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-27,0
Festes i tradicions,Titularitat privada,Festes,1.0,,100 llibreries de Catalunya (51 d'elles de Barcelona),Cambra del Llibre de Catalunya,La Festa Catalana,2017-06-28,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-29,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-06-30,0
Festes i tradicions,Mixta,Festes,,,,-1,La Festa Catalana,2017-07-01,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,205246.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-02,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Online,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-03,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,425000.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-04,0
Festes i tradicions,Ajuntament de Barcelona,Festes,6.0,1606.0,Diversos museus de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-05,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,,Diversos espais de Ciutat Vella,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-06,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-07,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-08,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-09,0
Festes i tradicions,Ajuntament de Barcelona,Festes,14.0,93762.0,Diversos museus de la ciutat i de l'Àrea Metropolitana,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-10,0
Ciència,Ajuntament de Barcelona,Festes,15.0,12000.0,Diversos espais de Ciutat Vella,Departament de Ciència i Universitats. Ajuntament de Barcelona,La Festa Catalana,2017-07-11,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-12,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-13,0
Festes i tradicions,Mixta,Festes,,,Diversos espais del barri de Gràcia,-1,La Festa Catalana,2017-07-14,0
Festes i tradicions,Mixta,Festes,,,Diversos espais del barri de Sants,-1,La Festa Catalana,2017-07-15,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-16,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,1042097.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-17,0
