cluster,hora,lat,lon,probabilidad,riesgo
4.0,6,41.42718887498297,2.1433951769690154,0.13249458,Bajo
4.0,8,41.42718887498297,2.1433951769690154,0.14912233,Bajo
4.0,10,41.42718887498297,2.1433951769690154,0.1713367,Bajo
4.0,12,41.42718887498297,2.1433951769690154,0.30586466,Medio
4.0,14,41.42718887498297,2.1433951769690154,0.37173146,Medio
4.0,16,41.42718887498297,2.1433951769690154,0.32625666,Medio
4.0,18,41.42718887498297,2.1433951769690154,0.33328673,Medio
4.0,20,41.42718887498297,2.1433951769690154,0.33582267,Medio
4.0,22,41.42718887498297,2.1433951769690154,0.22973615,Bajo
5.0,0,41.35618740436582,2.1432606011500135,0.30726853,Medio
5.0,2,41.35618740436582,2.1432606011500135,0.22381648,Bajo
5.0,4,41.35618740436582,2.1432606011500135,0.1968266,Bajo
5.0,6,41.35618740436582,2.1432606011500135,0.22622003,Bajo
5.0,8,41.35618740436582,2.1432606011500135,0.23988806,Bajo
5.0,10,41.35618740436582,2.1432606011500135,0.3045669,Medio
5.0,12,41.35618740436582,2.1432606011500135,0.45900178,Alto
5.0,14,41.35618740436582,2.1432606011500135,0.5230183,Alto
5.0,16,41.35618740436582,2.1432606011500135,0.45735282,Alto
5.0,18,41.35618740436582,2.1432606011500135,0.43932194,Alto
5.0,20,41.35618740436582,2.1432606011500135,0.47219685,Alto
5.0,22,41.35618740436582,2.1432606011500135,0.42385858,Alto
6.0,0,41.40873403494089,2.2087381097037273,0.29235074,Medio
6.0,2,41.40873403494089,2.2087381097037273,0.23631176,Bajo
6.0,4,41.40873403494089,2.2087381097037273,0.23324716,Bajo
6.0,6,41.40873403494089,2.2087381097037273,0.24781649,Bajo
6.0,8,41.40873403494089,2.2087381097037273,0.22853275,Bajo
6.0,10,41.40873403494089,2.2087381097037273,0.29020017,Medio
6.0,12,41.40873403494089,2.2087381097037273,0.44116333,Alto
6.0,14,41.40873403494089,2.2087381097037273,0.50389934,Alto
6.0,16,41.40873403494089,2.2087381097037273,0.4353124,Alto
6.0,18,41.40873403494089,2.2087381097037273,0.41748193,Alto
6.0,20,41.40873403494089,2.2087381097037273,0.44595945,Alto
6.0,22,41.40873403494089,2.2087381097037273,0.34217313,Medio
7.0,0,41.40184973938266,2.1369822145156765,0.32481435,Medio
7.0,2,41.40184973938266,2.1369822145156765,0.22328524,Bajo
7.0,4,41.40184973938266,2.1369822145156765,0.19153823,Bajo
7.0,6,41.40184973938266,2.1369822145156765,0.23708871,Bajo
7.0,8,41.40184973938266,2.1369822145156765,0.21937959,Bajo
